169
a CL CD CL_slope CD_slope
8.200000 1.069000 0.011990 5.271212 0.099074
8.400000 1.087400 0.012340 5.354768 0.091196
8.600000 1.106300 0.012630 5.338057 0.087615
8.800000 1.124600 0.012960 5.244951 0.093822
9.000000 1.143000 0.013280 5.259275 0.093106
9.200000 1.161300 0.013610 5.264050 0.091912
9.400000 1.179600 0.013930 5.070676 0.102416
9.600000 1.196900 0.014310 5.137522 0.093344
9.800000 1.215400 0.014590 5.130360 0.094061
10.000000 1.232500 0.014980 4.834331 0.112920
10.200000 1.249500 0.015350 4.999057 0.095016
10.400000 1.267200 0.015660 4.941761 0.095732
10.600000 1.283600 0.016050 4.366416 0.137271
10.800000 1.298300 0.016570 4.538303 0.120799
11.000000 1.315400 0.016880 4.841493 0.089286
11.200000 1.331500 0.017240 4.492944 0.110772
11.400000 1.346400 0.017670 3.752874 0.150401
11.600000 1.358100 0.018250 3.437747 0.145627
11.800000 1.371000 0.018660 3.798233 0.111011
12.000000 1.384300 0.019060 3.743324 0.118411
12.200000 1.396900 0.019500 3.485493 0.134645
12.400000 1.408500 0.020010 3.182303 0.155654
12.600000 1.418600 0.020620 2.153366 0.222499
12.800000 1.424600 0.021500 2.320479 0.218440
13.000000 1.435500 0.022100 3.270634 0.163770
13.200000 1.446500 0.022700 3.065324 0.179288
13.400000 1.456800 0.023360 2.874338 0.196238
13.600000 1.466600 0.024070 2.757359 0.210323
13.800000 1.475900 0.024840 2.513852 0.233958
14.000000 1.483800 0.025730 1.964768 0.279317
14.200000 1.489100 0.026840 0.692324 0.391760
14.400000 1.489900 0.028370 0.797366 0.400593
14.600000 1.495700 0.029550 2.053099 0.312023
14.800000 1.503200 0.030630 2.038775 0.323960
15.000000 1.509500 0.031850 1.663965 0.369080
15.200000 1.514900 0.033200 1.444331 0.400832
15.400000 1.519600 0.034650 1.231859 0.434970
15.600000 1.523500 0.036240 1.009838 0.473645
15.800000 1.526700 0.037950 0.868986 0.501577
16.000000 1.529400 0.039760 0.556247 0.548130
16.200000 1.530400 0.041800 0.069232 0.616168
16.400000 1.529800 0.044080 -0.455979 0.697815
16.600000 1.527000 0.046700 -1.188887 0.805483
16.800000 1.521300 0.049730 -2.148592 0.940844
17.000000 1.512200 0.053260 -3.082035 1.091962
17.200000 1.501400 0.057150 -2.265571 1.023207
17.400000 1.496900 0.060320 -0.916732 0.866599
17.600000 1.493800 0.063350 -0.945380 0.883787
17.800000 1.489800 0.066560 -1.384648 0.960421
18.000000 1.484200 0.070050 -1.683064 1.023446
18.200000 1.478100 0.073690 -1.933733 1.070476
18.400000 1.470700 0.077520 -2.213049 1.117268
